Settlement Day,Settlement Period,BSUoS Price
07/01/2014,37,2.43596
07/01/2014,38,1.64453
07/01/2014,39,1.86669
07/01/2014,40,1.74253
07/01/2014,41,1.51691
07/01/2014,42,1.3821
07/01/2014,43,1.65662
07/01/2014,44,1.47403
07/01/2014,45,1.72837
07/01/2014,46,2.0849
07/01/2014,47,1.84205
07/01/2014,48,2.2546
08/01/2014,1,2.60072
08/01/2014,2,2.80288
08/01/2014,3,2.3443
08/01/2014,4,2.30678
08/01/2014,5,2.01654
08/01/2014,6,2.22411
08/01/2014,7,1.91712
08/01/2014,8,1.80715
08/01/2014,9,1.78969
08/01/2014,10,1.66148
08/01/2014,11,1.88971
08/01/2014,12,2.18708
08/01/2014,13,2.44973
08/01/2014,14,2.1484
08/01/2014,15,1.5636
08/01/2014,16,2.14102
08/01/2014,17,1.94528
08/01/2014,18,1.4698
08/01/2014,19,1.5069
08/01/2014,20,1.36795
08/01/2014,21,1.19606
08/01/2014,22,1.24021
08/01/2014,23,1.28753
08/01/2014,24,1.37343
08/01/2014,25,1.43339
08/01/2014,26,1.62505
08/01/2014,27,2.16007
08/01/2014,28,1.84233
08/01/2014,29,1.84662
08/01/2014,30,1.64067
08/01/2014,31,1.77672
08/01/2014,32,2.18789
08/01/2014,33,2.13488
08/01/2014,34,2.23645
08/01/2014,35,1.67691
08/01/2014,36,1.38781
08/01/2014,37,1.21842
08/01/2014,38,1.06447
08/01/2014,39,1.18944
08/01/2014,40,1.32191
08/01/2014,41,1.14624
08/01/2014,42,1.15099
08/01/2014,43,1.1252
08/01/2014,44,1.17628
08/01/2014,45,0.57322
08/01/2014,46,0.95646
08/01/2014,47,1.10747
08/01/2014,48,1.21817
09/01/2014,1,1.21765
09/01/2014,2,1.56167
09/01/2014,3,1.29594
09/01/2014,4,1.23031
09/01/2014,5,0.80231
09/01/2014,6,0.88901
09/01/2014,7,0.91453
09/01/2014,8,0.62002
09/01/2014,9,0.62069
09/01/2014,10,0.70854
09/01/2014,11,0.949
09/01/2014,12,1.20586
09/01/2014,13,1.9371
09/01/2014,14,1.48362
09/01/2014,15,1.22845
09/01/2014,16,1.44662
09/01/2014,17,1.95759
09/01/2014,18,1.53819
09/01/2014,19,1.48034
09/01/2014,20,1.42072
09/01/2014,21,1.34098
09/01/2014,22,0.99962
09/01/2014,23,1.03799
09/01/2014,24,0.88586
09/01/2014,25,0.77197
09/01/2014,26,0.83123
09/01/2014,27,0.94996
09/01/2014,28,0.67325
09/01/2014,29,0.76369
09/01/2014,30,0.68376
09/01/2014,31,0.82898
09/01/2014,32,0.52725
09/01/2014,33,0.88799
09/01/2014,34,1.33675
09/01/2014,35,1.36598
09/01/2014,36,1.27427
09/01/2014,37,1.89384
09/01/2014,38,1.60231
09/01/2014,39,1.84633
09/01/2014,40,1.89218
09/01/2014,41,1.7796
09/01/2014,42,1.55811
09/01/2014,43,1.57963
09/01/2014,44,1.10915
09/01/2014,45,1.14039
09/01/2014,46,1.40279
09/01/2014,47,2.33594
09/01/2014,48,2.14977
10/01/2014,1,2.20206
10/01/2014,2,2.14944
10/01/2014,3,2.01683
10/01/2014,4,1.61587
10/01/2014,5,1.10707
10/01/2014,6,1.31518
10/01/2014,7,0.95711
10/01/2014,8,0.96146
10/01/2014,9,0.84599
10/01/2014,10,0.97629
10/01/2014,11,2.23565
10/01/2014,12,2.29698
10/01/2014,13,2.83324
10/01/2014,14,2.60295
10/01/2014,15,1.87422
10/01/2014,16,2.0993
10/01/2014,17,1.85809
10/01/2014,18,1.5095
10/01/2014,19,1.31288
10/01/2014,20,1.40616
10/01/2014,21,1.46084
10/01/2014,22,1.56538
10/01/2014,23,1.66461
10/01/2014,24,1.57042
10/01/2014,25,1.47155
10/01/2014,26,1.44093
10/01/2014,27,1.93293
