Date,Period,BSUoS
09/01/2017,18,2.60257
09/01/2017,19,2.73291
09/01/2017,20,2.89512
09/01/2017,21,3.1001
09/01/2017,22,2.86111
09/01/2017,23,2.84158
09/01/2017,24,2.79688
09/01/2017,25,2.62675
09/01/2017,26,2.60709
09/01/2017,27,2.5816
09/01/2017,28,2.27694
09/01/2017,29,2.28703
09/01/2017,30,2.16504
09/01/2017,31,2.46013
09/01/2017,32,2.35246
09/01/2017,33,3.2695
09/01/2017,34,3.63078
09/01/2017,35,2.75656
09/01/2017,36,2.95784
09/01/2017,37,3.08425
09/01/2017,38,2.65613
09/01/2017,39,3.31142
09/01/2017,40,2.77854
09/01/2017,41,2.65668
09/01/2017,42,2.89464
09/01/2017,43,2.74843
09/01/2017,44,2.36898
09/01/2017,45,2.78815
09/01/2017,46,3.28254
09/01/2017,47,4.42203
09/01/2017,48,4.40038
10/01/2017,1,5.08355
10/01/2017,2,5.86863
10/01/2017,3,5.9926
10/01/2017,4,5.63834
10/01/2017,5,5.29802
10/01/2017,6,5.62605
10/01/2017,7,5.78235
10/01/2017,8,6.0447
10/01/2017,9,5.93733
10/01/2017,10,5.81208
10/01/2017,11,7.10049
10/01/2017,12,6.69608
10/01/2017,13,5.65886
10/01/2017,14,4.6509
10/01/2017,15,3.93959
10/01/2017,16,3.61647
10/01/2017,17,3.43406
10/01/2017,18,2.49126
10/01/2017,19,2.62648
10/01/2017,20,3.32436
10/01/2017,21,2.91525
10/01/2017,22,2.6909
10/01/2017,23,2.74069
10/01/2017,24,2.72704
10/01/2017,25,2.83994
10/01/2017,26,2.80987
10/01/2017,27,2.55349
10/01/2017,28,2.23883
10/01/2017,29,2.27495
10/01/2017,30,1.9607
10/01/2017,31,2.36064
10/01/2017,32,2.40188
10/01/2017,33,2.83871
10/01/2017,34,3.31465
10/01/2017,35,3.28404
10/01/2017,36,3.21172
10/01/2017,37,3.3722
10/01/2017,38,2.99798
10/01/2017,39,2.48621
10/01/2017,40,2.19508
10/01/2017,41,1.9704
10/01/2017,42,2.02965
10/01/2017,43,2.52215
10/01/2017,44,2.89836
10/01/2017,45,3.34812
10/01/2017,46,3.54153
10/01/2017,47,5.42331
10/01/2017,48,6.06488
11/01/2017,1,6.4024
11/01/2017,2,5.36007
11/01/2017,3,4.75422
11/01/2017,4,4.22695
